BranchCode,FundCode,TransactionNumber,TransactionDate,Quantity,Amount
BEYLIKDUZU,A,TX1001,2026-06-20,100,10000
BEYLIKDUZU,B,TX1002,2026-06-20,50,5000
BEYLIKDUZU,C,TX1003,2026-06-20,75,7500
KADIKOY,A,TX1004,2026-06-21,120,14400
KADIKOY,D,TX1005,2026-06-21,30,3000
BESIKTAS,B,TX1006,2026-06-21,60,9000
BESIKTAS,E,TX1007,2026-06-22,15,1500
SISLI,A,TX1008,2026-06-22,200,25000
SISLI,F,TX1009,2026-06-22,40,4400
UMRANIYE,C,TX1010,2026-06-23,90,9900
UMRANIYE,G,TX1011,2026-06-23,25,2750
BAKIRKOY,A,TX1012,2026-06-23,110,12100
BAKIRKOY,H,TX1013,2026-06-24,55,6050
USKUDAR,B,TX1014,2026-06-24,80,8800
USKUDAR,I,TX1015,2026-06-24,10,1250
MALTEPE,D,TX1016,2026-06-25,45,4500
MALTEPE,J,TX1017,2026-06-25,70,7700
ATASEHIR,A,TX1018,2026-06-25,35,4200
ATASEHIR,K,TX1019,2026-06-26,95,10450
PENDIK,L,TX1020,2026-06-26,150,18000
